friday,hotelId,price
2017-02-03,537268,450
2017-02-03,18561,200
2017-02-03,28146,472
2017-02-03,21688,124
2017-02-03,8466215,200
2017-02-03,15246530,169
2017-02-03,20098,539
2017-02-03,5169,284
2017-02-03,3849185,586
2017-02-03,8563,358
2017-02-03,20515,136
2017-02-03,10939,206
2017-02-03,4836998,174
2017-02-03,3113039,270
2017-02-03,4944634,231
2017-02-03,25926,238
2017-02-03,47581,189
2017-02-03,1217618,144
2017-02-03,447050,205
2017-02-03,523228,140
2017-02-03,201089,157
2017-02-03,436250,216
2017-02-03,12084011,195
2017-02-03,2276,300
2017-02-03,470865,235
2017-02-03,7606,297
2017-02-03,179,205
2017-02-03,523223,230
2017-02-03,116041,161
2017-02-03,7528,299
2017-02-03,25875,202
2017-02-03,582514,210
2017-02-03,25578,284
2017-02-03,574158,220
2017-02-03,1144039,174
2017-02-03,3872807,112
2017-02-03,438636,564
2017-02-03,9745,211
2017-02-03,4735824,153
2017-02-03,856595,380
2017-02-03,21659,179
2017-02-03,11196,409
2017-02-03,1585328,197
2017-02-03,598182,158
2017-02-03,7082613,195
2017-02-03,4661230,312
2017-02-03,888830,154
2017-02-03,54987,263
2017-02-03,1584661,203
2017-02-03,28126,144
2017-02-03,425849,235
2017-02-03,1058226,148
2017-02-03,13891,244
2017-02-03,582065,149
2017-02-03,1038731,180
2017-02-03,62755,160
2017-02-03,1457972,163
2017-02-03,21208,753
2017-02-03,4883915,245
2017-02-03,528337,253
2017-02-03,5349114,502
2017-02-03,2156327,155
2017-02-03,447037,154
2017-02-03,19058,306
2017-02-03,455821,376
2017-02-03,559690,128
2017-02-03,518026,180
2017-02-03,201170,138
2017-02-03,431650,234
2017-02-03,3977996,172
2017-02-03,49091,316
2017-02-03,26145,186
2017-02-03,4278,405
2017-02-03,1348282,147
2017-02-03,21364,642
2017-02-03,914179,203
2017-02-03,8035714,647
2017-02-03,15411328,211
2017-02-03,25596,223
2017-02-03,2651,178
2017-02-03,9732709,360
2017-02-03,62766,141
2017-02-03,10430,255
2017-02-03,3907784,313
2017-02-03,2023296,167
2017-02-03,535667,245
2017-02-03,84047,147
2017-02-03,115923,425
2017-02-03,18773,144
2017-02-03,27158,585
2017-02-03,15118004,216
2017-02-03,527482,163
2017-02-03,528338,193
2017-02-03,21352,406
2017-02-03,9236409,152
2017-02-03,8171297,592
2017-02-03,2479,168
2017-02-03,2816681,178
2017-02-03,801796,178
2017-02-03,847459,135
2017-02-03,578692,329
2017-02-03,559689,126
2017-02-03,7281877,273
2017-02-03,115911,180
2017-02-03,2605,155
2017-02-03,3657,293
2017-02-03,3094,198
2017-02-03,14186,226
2017-02-03,20210,173
2017-02-03,19024,104
